customer_id,recency,frequency,monetary,unique_products,avg_unit_price,lifespan_days,avg_order_value,purchase_rate,revenue_per_product,r_score,f_score,m_score,rfm_score,segment,churned,cluster,cluster_name,action
12387,416,1,143.94,9,2.76,0,143.94,1.0,15.99,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12388,16,8,3901.11,83,2.82,566,487.64,0.0141,47.0,5,4,5,14,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12389,403,3,1433.33,41,2.65,253,477.78,0.0118,34.96,2,3,4,9,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12390,80,1,549.84,32,4.0,0,549.84,1.0,17.18,3,1,2,6,Hibernating,0,1,At Risk,"Send win-back campaigns, offer discounts"
12391,22,6,2773.42,241,3.75,641,462.24,0.0093,11.51,4,4,4,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12392,592,1,234.75,7,5.04,0,234.75,1.0,33.54,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12393,73,6,2399.45,63,2.48,356,399.91,0.0168,38.09,3,4,4,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12394,64,2,1272.48,26,3.37,153,636.24,0.013,48.94,3,2,4,9,At Risk,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12395,20,15,5067.27,145,3.58,583,337.82,0.0257,34.95,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12396,675,1,931.43,65,2.3,0,931.43,1.0,14.33,1,1,3,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12397,36,2,2409.9,110,3.47,99,1204.95,0.02,21.91,4,2,4,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12398,46,1,1635.66,85,1.99,0,1635.66,1.0,19.24,4,1,4,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12399,120,7,1962.3,67,2.04,525,280.33,0.0133,29.29,3,4,4,11,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12400,415,1,205.25,11,2.91,0,205.25,1.0,18.66,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12401,304,1,84.3,5,9.68,0,84.3,1.0,16.86,2,1,1,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12402,324,6,1256.9,43,3.31,347,209.48,0.0172,29.23,2,4,4,10,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12403,50,2,1019.36,5,7.1,471,509.68,0.0042,203.87,4,2,3,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12404,683,1,63.24,1,63.24,0,63.24,1.0,63.24,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12405,149,1,1710.39,54,3.54,0,1710.39,1.0,31.67,3,1,4,8,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12406,23,5,6390.36,114,2.53,675,1278.07,0.0074,56.06,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12407,50,5,1708.12,57,3.27,214,341.62,0.0233,29.97,4,4,4,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12408,33,8,4340.77,104,3.09,465,542.6,0.0172,41.74,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12409,79,7,23419.29,177,3.24,486,3345.61,0.0144,132.31,3,4,5,12,Loyal,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12410,309,3,1013.71,36,6.01,193,337.9,0.0155,28.16,2,3,3,8,At Risk,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12411,410,1,346.9,22,3.4,0,346.9,1.0,15.77,2,1,2,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12412,75,6,2596.93,82,2.57,464,432.82,0.0129,31.67,3,4,4,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12413,67,4,999.45,41,5.9,335,249.86,0.0119,24.38,3,3,3,9,At Risk,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12414,218,6,952.41,21,16.35,246,158.73,0.0243,45.35,2,4,3,9,At Risk,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12415,25,28,144458.37,498,2.97,503,5159.23,0.0556,290.08,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12416,657,1,202.56,11,1.53,0,202.56,1.0,18.41,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12417,4,20,6816.91,270,5.45,730,340.85,0.0274,25.25,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12418,113,4,2021.2,90,3.35,517,505.3,0.0077,22.46,3,3,4,10,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12419,386,2,503.01,23,5.04,27,251.5,0.0714,21.87,2,2,2,6,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12420,64,1,600.39,29,4.71,0,600.39,1.0,20.7,3,1,2,6,Hibernating,0,1,At Risk,"Send win-back campaigns, offer discounts"
12421,16,6,1098.6,44,4.77,489,183.1,0.0122,24.97,5,4,3,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12422,96,17,5231.8,137,10.18,625,307.75,0.0272,38.19,3,5,5,13,Champion,1,0,Champions,"Reward with loyalty perks, ask for reviews"
12423,1,10,2622.39,128,2.97,465,262.24,0.0215,20.49,5,5,4,14,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12424,163,4,3340.03,78,2.19,385,835.01,0.0104,42.82,3,3,5,11,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12425,79,2,1741.41,87,2.4,370,870.7,0.0054,20.02,3,2,4,9,At Risk,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12426,195,2,1345.21,73,3.56,468,672.6,0.0043,18.43,2,2,4,8,At Risk,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12427,22,3,1129.3,26,4.67,349,376.43,0.0086,43.43,4,3,3,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12428,26,9,7956.46,258,4.63,257,884.05,0.0349,30.84,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12429,10,8,7485.91,124,3.33,537,935.74,0.0149,60.37,5,4,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12430,44,1,256.4,11,6.23,0,256.4,1.0,23.31,4,1,1,6,Hibernating,0,1,At Risk,"Send win-back campaigns, offer discounts"
12431,36,27,10857.97,244,3.82,658,402.15,0.041,44.5,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12432,43,5,5059.32,107,10.55,129,1011.86,0.0385,47.28,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12433,1,10,20581.26,285,2.12,476,2058.13,0.021,72.21,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12434,85,3,1103.43,62,3.6,296,367.81,0.0101,17.8,3,3,3,9,At Risk,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12435,80,6,13925.93,88,3.73,657,2320.99,0.0091,158.25,3,4,5,12,Loyal,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12436,100,1,509.01,16,5.27,0,509.01,1.0,31.81,3,1,2,6,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12437,2,39,12683.4,273,3.37,735,325.22,0.053,46.46,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12438,15,2,2906.85,84,3.89,125,1453.42,0.0159,34.61,5,2,4,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12439,683,2,1158.18,69,3.69,43,579.09,0.0455,16.79,1,2,3,6,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12440,463,2,859.2,21,5.45,255,429.6,0.0078,40.91,1,2,3,6,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12441,367,1,347.1,11,3.7,0,347.1,1.0,31.55,2,1,2,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12442,4,1,172.06,12,3.34,0,172.06,1.0,14.34,5,1,1,7,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12443,733,1,485.31,21,5.87,0,485.31,1.0,23.11,1,1,2,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12444,22,5,5005.46,138,6.36,149,1001.09,0.0333,36.27,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12445,23,2,434.98,24,3.64,398,217.49,0.005,18.12,4,2,2,8,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12446,58,1,1002.31,57,4.35,0,1002.31,1.0,17.58,4,1,3,8,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12447,244,1,476.49,26,3.57,0,476.49,1.0,18.33,2,1,2,5,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12448,45,1,449.45,22,5.95,0,449.45,1.0,20.43,4,1,2,7,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12449,23,6,4835.89,125,3.64,416,805.98,0.0144,38.69,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12450,157,5,688.2,31,2.23,318,137.64,0.0157,22.2,3,4,3,10,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12451,11,8,12669.88,352,2.4,518,1583.74,0.0154,35.99,5,4,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12452,17,2,430.57,21,4.49,0,215.28,2.0,20.5,5,2,2,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12453,135,1,707.09,43,2.39,0,707.09,1.0,16.44,3,1,3,7,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12454,57,5,16679.78,24,9.97,364,3335.96,0.0137,694.99,4,4,5,13,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12455,74,10,5879.95,199,3.92,648,588.0,0.0154,29.55,3,5,5,13,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12456,45,3,3181.04,105,3.62,210,1060.35,0.0142,30.3,4,3,5,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12457,67,8,2995.91,63,5.62,368,374.49,0.0217,47.55,3,4,5,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12458,72,4,1777.49,71,3.96,416,444.37,0.0096,25.04,3,3,4,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12459,606,1,454.36,23,4.15,0,454.36,1.0,19.75,1,1,2,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12460,457,1,326.65,18,4.38,0,326.65,1.0,18.15,1,1,2,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12461,95,2,826.88,35,4.26,60,413.44,0.0328,23.63,3,2,3,8,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12462,19,2,1189.59,51,4.69,284,594.79,0.007,23.33,5,2,3,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12463,54,4,1344.78,65,3.04,188,336.2,0.0212,20.69,4,3,4,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12464,11,8,1212.05,6,11.83,299,151.51,0.0267,202.01,5,4,3,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12465,18,2,742.19,46,2.76,152,371.1,0.0131,16.13,5,2,3,10,Loyal,0,1,At Risk,"Send win-back campaigns, offer discounts"
12466,683,1,56.73,1,56.73,0,56.73,1.0,56.73,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12467,424,1,132.8,9,1.62,0,132.8,1.0,14.76,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12468,188,5,3670.74,127,2.78,495,734.15,0.0101,28.9,3,4,5,12,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12469,523,2,3070.54,76,3.0,14,1535.27,0.1333,40.4,1,2,5,8,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12470,690,1,211.95,23,3.93,0,211.95,1.0,9.22,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12471,3,79,39963.79,255,3.81,730,505.87,0.1081,156.72,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12472,33,19,17880.59,397,2.4,693,941.08,0.0274,45.04,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12473,30,5,3938.55,140,8.32,162,787.71,0.0307,28.13,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12474,18,31,12424.45,369,2.95,649,400.79,0.0477,33.67,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12475,54,2,1149.64,54,3.09,356,574.82,0.0056,21.29,4,2,3,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12476,16,23,14115.41,358,4.45,486,613.71,0.0472,39.43,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12477,23,9,20276.37,295,4.18,600,2252.93,0.015,68.73,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12478,4,1,680.99,36,4.54,0,680.99,1.0,18.92,5,1,3,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12479,12,1,527.2,31,2.67,0,527.2,1.0,17.01,5,1,2,8,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12480,29,7,5464.85,177,3.24,479,780.69,0.0146,30.87,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12481,23,15,12361.39,248,3.96,584,824.09,0.0256,49.84,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12482,577,29,23691.4,42,9.93,77,816.94,0.3718,564.08,1,5,5,11,Loyal,1,0,Champions,"Reward with loyalty perks, ask for reviews"
12483,18,19,5120.58,68,6.18,660,269.5,0.0287,75.3,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12484,33,12,6370.15,329,3.07,648,530.85,0.0185,19.36,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12485,530,1,708.1,34,2.41,0,708.1,1.0,20.83,1,1,3,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12486,432,1,1037.28,49,4.1,0,1037.28,1.0,21.17,1,1,3,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12487,731,1,285.3,2,2.0,0,285.3,1.0,142.65,1,1,1,3,Lost,1,3,Lost,Minimal spend — low re-engagement ROI
12488,10,3,1298.66,46,3.73,65,432.89,0.0455,28.23,5,3,4,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12489,337,1,334.93,15,5.91,0,334.93,1.0,22.33,2,1,2,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12490,6,21,9823.64,195,2.86,733,467.79,0.0286,50.38,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12491,39,1,460.4,25,3.38,0,460.4,1.0,18.42,4,1,2,7,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12492,64,3,715.21,38,3.26,340,238.4,0.0088,18.82,3,3,3,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12493,166,2,433.74,20,4.31,31,216.87,0.0625,21.69,3,2,2,7,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12494,16,9,1872.87,83,4.03,560,208.1,0.016,22.56,5,5,4,14,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12495,641,1,357.4,17,5.71,0,357.4,1.0,21.02,1,1,2,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12496,621,2,54.09,10,2.16,0,27.04,2.0,5.41,1,2,1,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12497,82,3,6248.5,41,1.88,563,2082.83,0.0053,152.4,3,3,5,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12498,22,3,403.7,21,4.2,36,134.57,0.0811,19.22,4,3,2,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12499,561,1,393.72,27,2.33,0,393.72,1.0,14.58,1,1,2,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12500,24,19,5955.21,88,4.72,650,313.43,0.0292,67.67,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12501,337,1,2169.39,149,2.41,0,2169.39,1.0,14.56,2,1,4,7,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12502,96,5,3723.87,102,6.43,214,744.77,0.0233,36.51,3,4,5,12,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12503,585,1,1126.0,2,115.8,0,1126.0,1.0,563.0,1,1,3,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12504,19,4,779.05,11,6.29,578,194.76,0.0069,70.82,5,3,3,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12505,409,1,955.2,42,4.44,0,955.2,1.0,22.74,2,1,3,6,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12506,233,1,73.5,23,3.2,0,73.5,1.0,3.2,2,1,1,4,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12507,135,4,1844.06,46,4.11,450,461.02,0.0089,40.09,3,3,4,10,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12508,27,2,398.27,57,1.72,2,199.14,0.6667,6.99,4,2,2,8,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12509,285,1,176.5,7,5.56,0,176.5,1.0,25.21,2,1,1,4,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12510,143,9,5178.02,94,13.31,592,575.34,0.0152,55.09,3,5,5,13,Champion,1,0,Champions,"Reward with loyalty perks, ask for reviews"
12511,429,1,3084.02,190,3.43,0,3084.02,1.0,16.23,1,1,5,7,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12512,67,2,138.03,31,2.58,0,69.02,2.0,4.45,3,2,1,6,Hibernating,0,1,At Risk,"Send win-back campaigns, offer discounts"
12513,113,1,612.29,35,2.18,0,612.29,1.0,17.49,3,1,2,6,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12514,268,2,1597.76,76,2.71,374,798.88,0.0053,21.02,2,2,4,8,At Risk,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12515,354,1,383.7,16,6.78,0,383.7,1.0,23.98,2,1,2,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12516,78,4,2648.62,49,2.23,521,662.16,0.0077,54.05,3,3,4,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12517,29,5,2502.84,232,2.35,161,500.57,0.0309,10.79,4,4,4,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12518,1,5,2056.89,84,2.84,109,411.38,0.0455,24.49,5,4,4,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12519,64,2,726.54,34,3.15,413,363.27,0.0048,21.37,3,2,3,8,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12520,80,5,2634.26,121,3.29,194,526.85,0.0256,21.77,3,4,4,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12521,143,1,599.68,38,3.0,0,599.68,1.0,15.78,3,1,2,6,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12522,40,2,192.72,11,5.0,12,96.36,0.1538,17.52,4,2,1,7,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12523,20,23,4372.15,176,4.41,712,190.09,0.0323,24.84,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12524,10,17,11126.11,157,3.14,660,654.48,0.0257,70.87,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12525,499,3,973.73,56,3.01,149,324.58,0.02,17.39,1,3,3,7,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12526,1,3,1316.66,64,3.35,93,438.89,0.0319,20.57,5,3,4,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12527,82,5,735.51,26,2.59,447,147.1,0.0112,28.29,3,4,3,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12528,10,6,1933.48,50,5.49,303,322.25,0.0197,38.67,5,4,4,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12529,529,1,316.48,21,3.04,0,316.48,1.0,15.07,1,1,2,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12530,60,9,3759.26,94,3.28,582,417.7,0.0154,39.99,3,5,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12531,15,2,1933.2,126,2.56,671,966.6,0.003,15.34,5,2,4,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12532,31,1,349.83,16,3.7,0,349.83,1.0,21.86,4,1,2,7,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12533,628,2,1367.89,63,3.3,110,683.94,0.018,21.71,1,2,4,7,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12534,131,1,1089.18,63,3.04,0,1089.18,1.0,17.29,3,1,3,7,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12535,92,2,716.35,28,4.45,94,358.18,0.0211,25.58,3,2,3,8,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12536,44,3,12601.83,260,34.75,15,4200.61,0.1875,48.47,4,3,5,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
