week_start,revenue,orders,customers,units_sold,revenue_lag_1w,revenue_lag_2w,revenue_lag_4w,revenue_lag_8w,revenue_roll4,revenue_roll8,week_num,year
2010-07-12,145007.93,327,262,81144.0,137063.11,171508.46,127393.78,139474.83,135055.43,139299.88,28,2010
2010-07-19,134064.58,309,275,80152.0,145007.93,137063.11,104256.36,142557.42,139458.96,139991.52,29,2010
2010-07-26,149988.27,320,274,72543.0,134064.58,145007.93,171508.46,90891.2,146911.02,138929.92,30,2010
2010-08-02,118494.71,284,253,72875.0,149988.27,134064.58,137063.11,201253.92,141530.97,146317.05,31,2010
2010-08-09,140391.69,294,241,173164.0,118494.71,149988.27,145007.93,127393.78,136888.87,135972.15,32,2010
2010-08-16,155168.5,316,262,105272.0,140391.69,118494.71,134064.58,104256.36,135734.81,137596.89,33,2010
2010-08-23,136599.98,313,273,81474.0,155168.5,140391.69,149988.27,171508.46,141010.79,143960.91,34,2010
2010-08-30,123899.47,267,231,81911.0,136599.98,155168.5,118494.71,137063.11,137663.72,139597.35,35,2010
2010-09-06,119769.07,300,263,72132.0,123899.47,136599.98,140391.69,145007.93,139014.91,137951.89,36,2010
2010-09-13,156282.28,360,302,99585.0,119769.07,123899.47,155168.5,134064.58,133859.26,134797.03,37,2010
2010-09-20,224441.83,441,323,135632.0,156282.28,119769.07,136599.98,149988.27,134137.7,137574.25,38,2010
2010-09-27,303347.5,514,413,232378.0,224441.83,156282.28,123899.47,118494.71,156098.16,146880.94,39,2010
2010-10-04,243478.33,495,411,158716.0,303347.5,224441.83,119769.07,140391.69,200960.17,169987.54,40,2010
2010-10-11,299535.29,531,449,169050.0,243478.33,303347.5,156282.28,155168.5,231887.48,182873.37,41,2010
2010-10-18,221909.89,521,435,121217.0,299535.29,243478.33,224441.83,136599.98,267700.74,200919.22,42,2010
2010-10-25,198494.82,447,388,107570.0,221909.89,299535.29,303347.5,123899.47,267067.75,211582.96,43,2010
2010-11-01,263932.67,496,406,156813.0,198494.82,221909.89,243478.33,119769.07,240854.58,220907.38,44,2010
2010-11-08,283951.19,620,493,154780.0,263932.67,198494.82,299535.29,156282.28,245968.17,238927.83,45,2010
2010-11-15,263154.83,609,506,148497.0,283951.19,263932.67,221909.89,224441.83,242072.14,254886.44,46,2010
2010-11-22,247915.5,648,543,134976.0,263154.83,283951.19,198494.82,303347.5,252383.38,259725.56,47,2010
2010-11-29,412154.51,616,467,228542.0,247915.5,263154.83,263932.67,243478.33,264738.55,252796.56,48,2010
2010-12-06,375939.39,489,406,176096.0,412154.51,247915.5,283951.19,299535.29,301794.01,273881.09,49,2010
2010-12-13,163770.73,401,336,96438.0,375939.39,412154.51,263154.83,221909.89,324791.06,283431.6,50,2010
2010-12-20,46109.11,108,86,30809.0,163770.73,375939.39,247915.5,198494.82,299945.03,276164.2,51,2010
2011-01-03,114865.27,224,207,70192.0,46109.11,163770.73,412154.51,263932.67,249493.44,257115.99,1,2011
2011-01-10,154714.94,233,212,76993.0,114865.27,46109.11,375939.39,283951.19,175171.12,238482.57,2,2011
2011-01-17,175757.98,206,187,131357.0,154714.94,114865.27,163770.73,263154.83,119865.01,222328.04,3,2011
2011-01-24,105288.77,267,244,58130.0,175757.98,154714.94,46109.11,247915.5,122861.83,211403.43,4,2011
2011-01-31,106095.23,272,247,65116.0,105288.77,175757.98,114865.27,412154.51,137656.74,193575.09,5,2011
2011-02-07,88015.42,197,183,47539.0,106095.23,105288.77,154714.94,375939.39,135464.23,155317.68,6,2011
2011-02-14,126050.4,267,236,76975.0,88015.42,106095.23,175757.98,163770.73,118789.35,119327.18,7,2011
2011-02-21,130687.36,267,245,79998.0,126050.4,88015.42,105288.77,46109.11,106362.46,114612.14,8,2011
2011-02-28,117600.82,267,242,65768.0,130687.36,126050.4,106095.23,114865.27,112712.1,125184.42,9,2011
2011-03-07,112338.0,269,229,63689.0,117600.82,130687.36,88015.42,154714.94,115588.5,125526.36,10,2011
2011-03-14,138278.82,304,268,83541.0,112338.0,117600.82,126050.4,175757.98,121669.14,120229.25,11,2011
2011-03-21,129918.43,299,270,73000.0,138278.82,112338.0,130687.36,105288.77,124726.25,115544.35,12,2011
2011-03-28,143977.03,320,279,94905.0,129918.43,138278.82,117600.82,106095.23,124534.02,118623.06,13,2011
2011-04-04,119961.92,295,266,64537.0,143977.03,129918.43,112338.0,88015.42,131128.07,123358.28,14,2011
2011-04-11,135142.2,344,302,84318.0,119961.92,143977.03,138278.82,126050.4,133034.05,127351.6,15,2011
2011-04-18,116090.02,248,221,74098.0,135142.2,119961.92,129918.43,130687.36,132249.9,128488.07,16,2011
2011-04-25,73474.56,193,171,49108.0,116090.02,135142.2,143977.03,117600.82,128792.79,126663.4,17,2011
2011-05-02,131329.18,343,291,73747.0,73474.56,116090.02,119961.92,112338.0,111167.18,121147.62,18,2011
2011-05-09,178850.25,387,311,101732.0,131329.18,73474.56,135142.2,138278.82,114008.99,123521.52,19,2011
2011-05-16,196269.92,429,349,104035.0,178850.25,131329.18,116090.02,129918.43,124936.0,128592.95,20,2011
2011-05-23,146976.9,327,261,79661.0,196269.92,178850.25,73474.56,143977.03,144980.98,136886.88,21,2011
2011-05-30,102371.9,238,212,54650.0,146976.9,196269.92,131329.18,119961.92,163356.56,137261.87,22,2011
2011-06-06,194019.08,373,334,92186.0,102371.9,146976.9,178850.25,135142.2,156117.24,135063.12,23,2011
2011-06-13,171940.3,341,286,99233.0,194019.08,102371.9,196269.92,116090.02,159909.45,142422.73,24,2011
2011-06-20,112818.82,304,263,70174.0,171940.3,194019.08,146976.9,73474.56,153827.04,149404.01,25,2011
2011-06-27,116479.92,255,205,68634.0,112818.82,171940.3,102371.9,131329.18,145287.52,154322.04,26,2011
2011-07-04,131383.74,310,269,79594.0,116479.92,112818.82,194019.08,178850.25,148814.53,152465.89,27,2011
2011-07-11,118297.88,305,262,75280.0,131383.74,116479.92,171940.3,196269.92,133155.7,146532.57,28,2011
2011-07-18,167519.81,325,283,102039.0,118297.88,131383.74,112818.82,146976.9,119745.09,136786.07,29,2011
2011-07-25,164667.9,324,278,101936.0,167519.81,118297.88,116479.92,102371.9,133420.34,139353.93,30,2011
2011-08-01,156185.19,302,275,99193.0,164667.9,167519.81,131383.74,194019.08,145467.33,147140.93,31,2011
2011-08-08,143652.21,256,226,91298.0,156185.19,164667.9,118297.88,171940.3,151667.7,142411.69,32,2011
2011-08-15,168080.69,309,277,98414.0,143652.21,156185.19,167519.81,112818.82,158006.28,138875.68,33,2011
2011-08-22,148051.26,348,301,93454.0,168080.69,143652.21,164667.9,116479.92,158146.5,145783.42,34,2011
2011-08-29,114046.78,254,227,69949.0,148051.26,168080.69,156185.19,131383.74,153992.34,149729.84,35,2011
2011-09-05,167004.06,379,317,103842.0,114046.78,148051.26,143652.21,118297.88,143457.74,147562.72,36,2011
2011-09-12,209167.98,347,303,115691.0,167004.06,114046.78,168080.69,167519.81,149295.7,153650.99,37,2011
2011-09-19,309569.21,447,385,163655.0,209167.98,167004.06,148051.26,164667.9,159567.52,158857.01,38,2011
2011-09-26,194007.85,427,375,115897.0,309569.21,209167.98,114046.78,156185.19,199947.01,176969.67,39,2011
2011-10-03,297116.86,472,390,165447.0,194007.85,309569.21,167004.06,143652.21,219937.28,181697.5,40,2011
2011-10-10,204423.28,429,363,111779.0,297116.86,194007.85,209167.98,168080.69,252465.48,200880.59,41,2011
2011-10-17,255461.64,429,366,147501.0,204423.28,297116.86,309569.21,148051.26,251279.3,205423.41,42,2011
2011-10-24,237685.49,502,423,145627.0,255461.64,204423.28,194007.85,114046.78,237752.41,218849.71,43,2011
2011-10-31,260628.77,510,442,148840.0,237685.49,255461.64,297116.86,167004.06,248671.82,234304.55,44,2011
2011-11-07,264765.98,608,517,156898.0,260628.77,237685.49,204423.28,209167.98,239549.8,246007.64,45,2011
2011-11-14,277773.94,669,569,157615.0,264765.98,260628.77,255461.64,309569.21,254635.47,252957.38,46,2011
2011-11-21,249532.68,594,492,142370.0,277773.94,264765.98,237685.49,194007.85,260213.54,248982.98,47,2011
2011-11-28,251788.22,633,516,140422.0,249532.68,277773.94,260628.77,297116.86,263175.34,255923.58,48,2011
2011-12-05,408587.15,484,416,225491.0,251788.22,249532.68,264765.98,204423.28,260965.2,250257.5,49,2011
